"WHM Name","WH Name","WH ID","Address","District","State","Capacity(in MT)","Registration Date","Registration Valid Upto","Contact No.","Status","Remarks"
"Chhattisgarh State Warehousing Corporation","CGSWC,FINGESHWAR","6894513","Main Road Fingeshwar,","Raipur","CHHATTISGARH","1160","27-Mar-2024","26-Mar-2029","8435034263","Active",""
"Chhattisgarh State Warehousing Corporation","CGSWC SARANGARH (Khelbhata Parisar)","6894968","SARANGARH CHOWK BILASPUR ROAD,","Raigarh","CHHATTISGARH","7115","27-Mar-2024","26-Mar-2029","9301234316","Active",""
"Chhattisgarh State Warehousing Corporation","CGSWC, KESHKAL(Adega Road )","6818553","Adega Road, Keshkal,","Bastar","CHHATTISGARH","2784","18-Dec-2023","17-Dec-2028","8839854386","Active",""
"Chhattisgarh State Warehousing Corporation","CGSWC, KHARORA","6895056","Rajiv Nagar ,Naktad , kharora,","Raipur","CHHATTISGARH","6358","27-Mar-2024","26-Mar-2029","8435034263","Active",""
"Chhattisgarh State Warehousing Corporation","CGSWC, SITAPUR(Baneya parisar)","6826655","Baneya parisar,SITAPUR,","Surguja","CHHATTISGARH","12528","26-Dec-2023","25-Dec-2028","9617694120","Active",""
"Chhattisgarh State Warehousing Corporation","CGSWC, BARELA","6818645","PADAMPUR ROAD BARELA,","Bilaspur","CHHATTISGARH","4176","18-Dec-2023","17-Dec-2028","9329773870","Active",""
"Chhattisgarh State Warehousing Corporation","CGSWC, KUSMI","6745830","VILLAGE KUSMI POST, TEH. KUSMI","Surguja","CHHATTISGARH","8352","27-Jun-2023","26-Jun-2028","9669038312","Active",""
"Chhattisgarh State Warehousing Corporation","CGSWC KANKER","6582662","OFFICE CAMPUS KRISH UPAJ MANDI ROAD ANNPURNA PARA KANKER,","Uttar Bastar Kanker","CHHATTISGARH","51690","29-May-2022","28-May-2027","7879130644","Active",""
"Chhattisgarh State Warehousing Corporation","CGSWC,KONTA","6585905","Near SDM Office,Konta,","Dakshin Bastar Dantewada","CHHATTISGARH","2320","30-May-2022","29-May-2027","9479232413","Active",""
"Chhattisgarh State Warehousing Corporation","CGSWC, Bilha","6565386","Gram Nipaniya Bilha Mod ke pass, Gram Nipaniya Bilha mod ke pass","Bilaspur","CHHATTISGARH","11600","28-Mar-2022","27-Mar-2027","9907778677","Active",""
"Chhattisgarh State Warehousing Corporation","Bodasagar(main campus )","6902886","Bodasagar(main campus ),","Janjgir - Champa","CHHATTISGARH","9914","01-Apr-2024","31-Mar-2029","9753006576","Active",""
"Chhattisgarh State Warehousing Corporation","CGSWC, Chitoud","6564124","Vill- Chitoud, Post Chitoud, Teh- Gurur","Durg","CHHATTISGARH","62640","25-Mar-2022","24-Mar-2027","8435855283","Active",""
"Chhattisgarh State Warehousing Corporation","CGSWC Karpawand","6585004","Mandi Road,karawand,","Bastar","CHHATTISGARH","4048","30-May-2022","29-May-2027","9399235236","Active",""
"Chhattisgarh State Warehousing Corporation","CGSWC, PANDARIYA","6567994","LORAMI ROAD MOHATARA KHURD, PANDARIYA,","Kabeerdham","CHHATTISGARH","8352","31-Mar-2022","30-Mar-2027","9827884106","Active",""
"Chhattisgarh State Warehousing Corporation","CGSWC TAKHATPUR","7083421","Near Polytechnic College, Takhatpur,","Bilaspur","CHHATTISGARH","8352","30-Apr-2025","29-Apr-2030","9827489588","Active",""
"Chhattisgarh State Warehousing Corporation","CGSWC, Dhamtari","6567812","City- Dhamtari, Post- Dhamtari, Dhamtari","Dhamtari","CHHATTISGARH","54328","31-Mar-2022","30-Mar-2027","9425214544","Active",""
"Chhattisgarh State Warehousing Corporation","CGSWC,KAWARDHA (Magarda)","7059306","Raipur road kawardha,","Kabeerdham","CHHATTISGARH","9007","28-Mar-2025","27-Mar-2030","9406148774","Active",""
"Chhattisgarh State Warehousing Corporation","CGSWC, Chowki (Kauduttola)","7059397","Kauduttola,Chowki,","Rajnandgaon","CHHATTISGARH","3600","28-Mar-2025","27-Mar-2030","7987451363","Active",""
"Chhattisgarh State Warehousing Corporation","CGSWC,AWAPALLI (USUR PARISAR)","7018989","USUR ROAD AWAPALLI,","Bijapur","CHHATTISGARH","1575","08-Feb-2025","07-Feb-2030","9425528983","Active",""
