"WHM Name","WH Name","WH ID","Address","District","State","Capacity(in MT)","Registration Date","Registration Valid Upto","Contact No.","Status","Remarks"
"TELANGANA STATE WAREHOUSING CORPORATION","TSWC Arshanapally(OWN)","7016017","Nallabelli,","WARANGAL (URBAN)","TELANGANA","5000","06-Feb-2025","05-Feb-2030","8142928681","Active",""
"TELANGANA STATE WAREHOUSING CORPORATION","TSWC Gundlaphad(OWN)","7017544","Nallabelli,","WARANGAL (URBAN)","TELANGANA","9522","06-Feb-2025","05-Feb-2030","8142928681","Active",""
"TELANGANA STATE WAREHOUSING CORPORATION","Mallaram AMC","7056153","Nizamabad,","NIZAMABAD","TELANGANA","20000","27-Mar-2025","26-Mar-2030","9959677559","Inactive","EFFECTIVE CONTROL EXPIRED"
"TELANGANA STATE WAREHOUSING CORPORATION","Yeshwanthraopet- II","7070196","Jagityal,","KARIMNAGAR","TELANGANA","25000","11-Apr-2025","10-Apr-2030","9110561200","Active",""
"TELANGANA STATE WAREHOUSING CORPORATION","SULTANABAD- IG","7101157","Suglampalli,","KARIMNAGAR","TELANGANA","40000","05-Jun-2025","04-Jun-2030","9866915001","Inactive","EFFECTIVE CONTROL EXPIRED"
"TELANGANA STATE WAREHOUSING CORPORATION","NACHUPALLY- IG","7079460","Kodimyal,","JAGTIAL","TELANGANA","20000","28-Apr-2025","27-Apr-2030","9705377099","Active",""
"TELANGANA STATE WAREHOUSING CORPORATION","Mancherial- IG","7079825","Mancherial,","MANCHERIAL","TELANGANA","10000","28-Apr-2025","27-Apr-2030","9441873457","Active",""
"TELANGANA STATE WAREHOUSING CORPORATION","Munipally- IG","7006471","Munipally,","NIZAMABAD","TELANGANA","8888","01-Jan-2025","31-Dec-2029","9705377099","Inactive","EFFECTIVE CONTROL EXPIRED"
"THIRUMALA WAREHOUSE","THIRUMALA WAREHOUSE","6787774","S.NOS. 768, 775/A, 769/EE, 769/E AND 768 765/E/2, 765/E/3, 769/A, 769/E, 768 AND 766, KAUKUNTLA VILLAGE AND MANDAL","MAHABUBNAGAR","TELANGANA","15000","30-Sep-2023","29-Sep-2028","9000063555","Active",""
"V SANDHYA","VUDUTHALA GODOWN CHINNADARPALLY","6570246","SYNO 42/AA CHINNADARPALLY, MAHABUBNAGAR","MAHABUBNAGAR","TELANGANA","10000","22-Apr-2022","21-Apr-2027","8639706705","Active",""
"VENKATA ANNAPURNA WAREHOUSING","VENKATA ANNAPURNA WAREHOUSING","6754295","GODOWN NO. 1 & 8, S.NOS. 775/U, 775/RU, 776 AND 764 KAUKUNTLA VILLAGE AND MANDAL","MAHABUBNAGAR","TELANGANA","10000","11-Jul-2023","10-Jul-2028","8978800666","Active",""
"VENKATESHWAR PRATAPAGIRI","P VENKATESHWAR RAO","6846000","SYNO 141 & 146 RAMAJIPET VILLAGE, WANGAPALLI YADAGIRIGUTTA MANDAL","YADADRI","TELANGANA","5000","25-Jan-2024","24-Jan-2029","9866522905","Active",""
"VENU MUNDADA","VENUGOPAL MUNDADA","6703714","GODWON 1 SNY 20/1 20/1/1 21/1 21/2 22/1 22/2, YESHWANTPUR VILLAGE","JANGOAN","TELANGANA","5000","31-Mar-2023","30-Mar-2028","8008277302","Active",""
"VIMALA DUGYALA","DUGYALA VIMALA","6682652","GODOWN NO-19 SYNO -1184/1,1185,1188 RAGHAVAPUR,VILLAGE-PEDDAPALLY MANDAL,","PEDDAPALLI","TELANGANA","9999","15-Feb-2023","14-Feb-2028","9866335010","Active",""
"VISWA KALASHIKAM","K.VISWARAJ","6749972","GODOWN NO.12, S.NO.765/E/2, 765/E/1, 766/AA/A, AND 765/A","MAHABUBNAGAR","TELANGANA","7997","30-Jun-2023","29-Jun-2028","9705633217","Active",""
"VUDUTHALA RAO","VUDUTHALA BHASKER RAO RURAL GODOWNS","6568984","SYNO 80/A CHINNADARPALLY VILLAGE, HANWADA MANDAL","MAHABUBNAGAR","TELANGANA","10000","13-Apr-2022","12-Apr-2027","8639706705","Active",""
"YADAVATI GUJJA","GUJJA YADAVATI","6754568","GNO 9 AND 10, NIDIGONDA VILLAGE RAGHUNATHPALLY MANDAL","JANGOAN","TELANGANA","7000","12-Jul-2023","11-Jul-2028","9912551144","Active",""
